n,prior_a,prior_b,prior_label,seed,nh,p_freq,p_bayes,pi_est,rel_err,alpha_post,beta_post
100,5,10,"B(5,10)",25533,84,0.84,0.7739130434782608,3.0956521739130434,0.01462330885713496,89,26
100,5,10,"B(5,10)",26533,78,0.78,0.7217391304347827,2.8869565217391306,0.0810531981476651,83,32
100,5,10,"B(5,10)",27533,76,0.76,0.7043478260869566,2.8173913043478263,0.10319649457784184,81,34
100,5,10,"B(5,10)",28533,82,0.82,0.7565217391304347,3.026086956521739,0.03676660528731172,87,28
100,5,10,"B(5,10)",29533,78,0.78,0.7217391304347827,2.8869565217391306,0.0810531981476651,83,32
1000,1,1,"B(1,1)",173,771,0.771,0.7704590818363274,3.0818363273453095,0.019021029405643028,772,230
1000,1,1,"B(1,1)",1173,800,0.8,0.7994011976047904,3.197604790419162,0.017829216899067253,801,201
1000,1,1,"B(1,1)",2173,790,0.79,0.7894211576846307,3.157684630738523,0.005122235414684338,791,211
1000,1,1,"B(1,1)",3173,799,0.799,0.7984031936127745,3.193612774451098,0.016558518750628935,800,202
1000,1,1,"B(1,1)",4173,783,0.783,0.782435129740519,3.129740518962076,0.003772651624383617,784,218
1000,2,2,"B(2,2)",5173,778,0.778,0.7768924302788844,3.1075697211155378,0.01082983576351902,780,224
1000,2,2,"B(2,2)",6173,788,0.788,0.7868525896414342,3.147410358565737,0.0018518330087435452,790,214
1000,2,2,"B(2,2)",7173,762,0.762,0.7609561752988048,3.043824701195219,0.031120505799139126,764,240
1000,2,2,"B(2,2)",8173,800,0.8,0.798804780876494,3.195219123505976,0.017069835535458624,802,202
1000,2,2,"B(2,2)",9173,794,0.794,0.7928286852589641,3.1713147410358564,0.009460834272101084,796,208
1000,10,10,"B(10,10)",10173,789,0.789,0.7833333333333333,3.1333333333333333,0.0026290232907892,799,221
1000,10,10,"B(10,10)",11173,817,0.817,0.8107843137254902,3.243137254901961,0.0323226504862545,827,193
1000,10,10,"B(10,10)",12173,792,0.792,0.7862745098039216,3.145098039215686,0.0011157988996083243,802,218
1000,10,10,"B(10,10)",13173,773,0.773,0.7676470588235295,3.070588235294118,0.022601408306242663,783,237
1000,10,10,"B(10,10)",14173,767,0.767,0.7617647058823529,3.0470588235294116,0.03009105268703785,777,243
1000,50,50,"B(50,50)",15173,800,0.8,0.7727272727272727,3.090909090909091,0.016133079068283367,850,250
1000,50,50,"B(50,50)",16173,797,0.797,0.77,3.08,0.01960555055392467,847,253
1000,50,50,"B(50,50)",17173,792,0.792,0.7654545454545455,3.061818181818182,0.02539300302999356,842,258
1000,50,50,"B(50,50)",18173,760,0.76,0.7363636363636363,2.9454545454545453,0.06243269887683475,810,290
1000,50,50,"B(50,50)",19173,773,0.773,0.7481818181818182,2.9927272727272727,0.04738532243905553,823,277
1000,10,5,"B(10,5)",20173,777,0.777,0.7753694581280788,3.101477832512315,0.012768944131455146,787,228
1000,10,5,"B(10,5)",21173,804,0.804,0.8019704433497536,3.2078817733990146,0.021100482181696953,814,201
1000,10,5,"B(10,5)",22173,781,0.781,0.7793103448275862,3.117241379310345,0.0077512513443214505,791,224
1000,10,5,"B(10,5)",23173,776,0.776,0.774384236453202,3.097536945812808,0.0140233673282385,786,229
1000,10,5,"B(10,5)",24173,788,0.788,0.7862068965517242,3.1448275862068966,0.0010297110331624483,798,217
1000,5,10,"B(5,10)",25173,794,0.794,0.787192118226601,3.148768472906404,0.0022841342299458017,799,216
1000,5,10,"B(5,10)",26173,785,0.785,0.7783251231527094,3.1133004926108376,0.009005674541104803,790,225
1000,5,10,"B(5,10)",27173,780,0.78,0.7733990147783252,3.0935960591133007,0.015277790525021854,785,230
1000,5,10,"B(5,10)",28173,781,0.781,0.774384236453202,3.097536945812808,0.0140233673282385,786,229
1000,5,10,"B(5,10)",29173,804,0.804,0.7970443349753694,3.1881773399014777,0.014828366197779903,809,206
5000,1,1,"B(1,1)",231,3945,0.789,0.7888844462215114,3.1555377848860457,0.004438873155728193,3946,1056
5000,1,1,"B(1,1)",1231,3993,0.7986,0.7984806077568972,3.193922431027589,0.01665708550024787,3994,1008
5000,1,1,"B(1,1)",2231,3904,0.7808,0.780687724910036,3.122750899640144,0.005997516555215776,3905,1097
5000,1,1,"B(1,1)",3231,3875,0.775,0.774890043982407,3.099560175929628,0.013379353180029861,3876,1126
5000,1,1,"B(1,1)",4231,3915,0.783,0.7828868452618952,3.131547381047581,0.0031975095595967273,3916,1086
5000,2,2,"B(2,2)",5231,3894,0.7788,0.7785771382893685,3.114308553157474,0.008684798903238642,3896,1108
5000,2,2,"B(2,2)",6231,3982,0.7964,0.7961630695443646,3.184652278177458,0.013706304201616433,3984,1020
5000,2,2,"B(2,2)",7231,3887,0.7774,0.7771782573940847,3.108713029576339,0.010465909377488413,3889,1115
5000,2,2,"B(2,2)",8231,3961,0.7922,0.7919664268585132,3.1678657074340526,0.00836297277886684,3963,1041
5000,2,2,"B(2,2)",9231,3896,0.7792,0.7789768185451639,3.1159072741806555,0.008175910196310077,3898,1106
5000,10,10,"B(10,10)",10231,3935,0.787,0.7858565737051793,3.143426294820717,0.0005836661315172886,3945,1075
5000,10,10,"B(10,10)",11231,3862,0.7724,0.7713147410358566,3.0852589641434265,0.01793157027598597,3872,1148
5000,10,10,"B(10,10)",12231,3951,0.7902,0.7890438247011953,3.156175298804781,0.004641800138641423,3961,1059
5000,10,10,"B(10,10)",13231,3947,0.7894,0.7882470119521913,3.152988047808765,0.003627266636860389,3957,1063
